--------- beginning of kernel
06-24 23:46:20.009     0     0 W [    3.122564 06-25 04:46:20.003] [4: kworker/u16:9:  353] subsys-pil-tz soc:qcom,ipa_uc: Falling back to syfs fallback for: ipa_uc.mdt
06-24 23:46:20.010     0     0 E [    3.122953 06-25 04:46:20.003] [4: kworker/4:1:   78] ipa-wan ipa3_wwan_probe:2531 rmnet_ipa completed initialization
06-24 23:46:20.013     0     0 I [    3.126081 06-25 04:46:20.007] [6: ueventd:  879] ueventd: firmware: loading 'ipa_uc.mdt' for '/devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.mdt'
06-24 23:46:20.013     0     0 I [    3.126286 06-25 04:46:20.007] [6: ueventd:  879] ueventd: found /vendor/firmware_mnt/image/ipa_uc.mdt for /devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.mdt
06-24 23:46:20.016     0     0 I [    3.127530 06-25 04:46:20.007] [6: ueventd:  879] ueventd: loading /devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.mdt took 1ms
06-24 23:46:20.016     0     0 I [    3.127560 06-25 04:46:20.007] [4: kworker/u16:9:  353] subsys-pil-tz soc:qcom,ipa_uc: ipa_uc: loading from 0x0000000086800000 to 0x0000000086810000
06-24 23:46:20.029     0     0 W [    3.141033 06-25 04:46:20.023] [7: kworker/u17:1:  538] subsys-pil-tz soc:qcom,ipa_uc: Falling back to syfs fallback for: ipa_uc.b02
06-24 23:46:20.029     0     0 I [    3.142100 06-25 04:46:20.023] [6: ueventd:  880] ueventd: firmware: loading 'ipa_uc.b02' for '/devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.b02'
06-24 23:46:20.029     0     0 I [    3.142247 06-25 04:46:20.023] [6: ueventd:  880] ueventd: found /vendor/firmware_mnt/image/ipa_uc.b02 for /devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.b02
06-24 23:46:20.030     0     0 I [    3.144381 06-25 04:46:20.027] [7: ueventd:  880] ueventd: loading /devices/platform/soc/soc:qcom,ipa_uc/firmware/ipa_uc.b02 took 2ms
06-24 23:46:20.030     0     0 E [    3.144416 06-25 04:46:20.027] [5: binder:767_4:  851] vold: [libfs_mgr] Failed to open /sys/fs/f2fs/features/linear_lookup: No such file or directory
06-24 23:46:20.032     0     0 I [    3.146352 06-25 04:46:20.027] [4: kworker/u16:9:  353] subsys-pil-tz soc:qcom,ipa_uc: ipa_uc: Brought out of reset
06-24 23:46:20.032     0     0 E [    3.146489 06-25 04:46:20.027] [4: kworker/u16:9:  353] ipa ipa3_uc_wdi_event_log_info_handler:351 WDI protocol missing 0x21
06-24 23:46:20.032     0     0 E [    3.146494 06-25 04:46:20.027] [4: kworker/u16:9:  353] ipa ipa3_uc_ntn_event_log_info_handler:34 NTN stats ofst=0x500e0
06-24 23:46:20.041     0     0 I [    3.155207 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: Automatic fix mode enabled.
06-24 23:46:20.041     0     0 I [    3.155536 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: not exist /proc/version!
06-24 23:46:20.041     0     0 I [    3.155793 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: MKFS version
06-24 23:46:20.041     0     0 I [    3.155799 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs:   "4.19.325-cip128-st12-perf-g7cceab646cec"
06-24 23:46:20.041     0     0 I [    3.155803 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: FSCK version
06-24 23:46:20.041     0     0 I [    3.155808 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs:   from "4.19.325-cip128-st12-perf-g7cceab646cec"
06-24 23:46:20.041     0     0 I [    3.155815 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs:     to "4.19.325-cip128-st12-perf-g7cceab646cec"
06-24 23:46:20.041     0     0 I [    3.155820 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: superblock features = 1499 :  encrypt extra_attr project_quota quota verity casefold
06-24 23:46:20.041     0     0 I [    3.155825 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: superblock encrypt level = 0, salt = 00000000000000000000000000000000
06-24 23:46:20.041     0     0 I [    3.155832 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: checkpoint stop reason: shutdown(47)
06-24 23:46:20.041     0     0 I [    3.155836 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: Segments per section = 1
06-24 23:46:20.041     0     0 I [    3.155841 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: Sections per zone = 1
06-24 23:46:20.041     0     0 I [    3.155846 06-25 04:46:20.035] [7: binder:767_4:  851] fsck.f2fs: Info: total FS sectors = 24943058 (97433 MB)
06-24 23:46:20.043     0     0 I [    3.156735 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: Info: CKPT version = 19a30659
06-24 23:46:20.043     0     0 I [    3.156746 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: Info: Casefold: linear_lookup [disable]
06-24 23:46:20.043     0     0 I [    3.156753 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: Info: version timestamp cur: 334024, prev: 262796
06-24 23:46:20.043     0     0 I [    3.157823 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: Info: checkpoint state = 45 :  crc compacted_summary unmount
06-24 23:46:20.043     0     0 I [    3.157827 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: Info: No error was reported
06-24 23:46:20.043     0     0 I [    3.157832 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs:
06-24 23:46:20.043     0     0 I [    3.157835 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: c, u, RA, CH, CM, Repl=
06-24 23:46:20.043     0     0 I [    3.157838 06-25 04:46:20.039] [5: binder:767_4:  851] fsck.f2fs: 10000 9 9 0 9 0
06-24 23:46:20.045     0     0 I [    3.159009 06-25 04:46:20.039] [4: binder:767_4:  851] F2FS-fs (dm-46): Using encoding defined by superblock: utf8-12.1.0 with flags 0x2
06-24 23:46:20.085     0     0 W [    3.199271 06-25 04:46:20.079] [6: binder:767_4:  851] F2FS-fs (dm-46): Start checkpoint disabled!
06-24 23:46:20.086     0     0 I [    3.200262 06-25 04:46:20.083] [6: binder:767_4:  851] F2FS-fs (dm-46): Mounted with checkpoint version = 19a3065a
06-24 23:46:20.090     0     0 I [    3.205190 06-25 04:46:20.087] [7: init:    1] init: Keyring created with id 1009041316 in process 1
06-24 23:46:20.091     0     0 I [    3.205319 06-25 04:46:20.087] [4: init:    1] init: Command 'mount_all /vendor/etc/fstab.${ro.hardware} --late' action=late-fs (/vendor/etc/init/hw/init.target.rc:109) took 155ms and succeeded
06-24 23:46:20.092     0     0 E [    3.206461 06-25 04:46:20.087] [7: init:    1] init: Control message: Could not find 'aidl/android.hardware.boot.IBootControl/default' for ctl.interface_start from pid: 751 (/system/bin/servicemanager)
06-24 23:46:20.092     0     0 I [    3.206506 06-25 04:46:20.087] [7: init:    1] init: processing action (late-fs) from (/vendor/etc/init/android.hardware.power-service.lineage-libperfmgr.rc:7)
